Slice,ExpectedPackedExtinction,ActualPackedExtinction,ExpectedExtinction,ActualExtinction,ExpectedTransmittance,ActualTransmittance,AbsError,Pass
0,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
1,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
2,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
3,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
4,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
5,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
6,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
7,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
8,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
9,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
10,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
11,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
12,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
13,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
14,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
15,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
16,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
17,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
18,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
19,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
20,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
21,0,13861,0.000000,1.386100,1.000000,1.000000,1.386100,false
22,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
23,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
24,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
25,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
26,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
27,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
28,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
29,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
30,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
31,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
32,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
33,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
34,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
35,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
36,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
37,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
38,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
39,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
40,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
41,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
42,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
43,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
44,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
45,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
46,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
47,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
48,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
49,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
50,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
51,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
52,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
53,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
54,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
55,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
56,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
57,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
58,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
59,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
60,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
61,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
62,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
63,0,6930,0.000000,0.693000,1.000000,1.000000,0.693000,false
